ROUND,TIME UNIT STDEV,FIFO_1,FIFO_2,FIFO_3,FIFO_4,FIFO_5,RR_1,RR_2,RR_3,RR_4,RR_5,SJF_1,SJF_2,SJF_3,SJF_4,SJF_5,PSJF_1,PSJF_2,PSJF_3,PSJF_4,PSJF_5
101,0.0684019205950661,129.47548030418733,8483.37078495335,1954.11825201474,244.22812082149753,2247.7500814306354,116.2346764094089,719.2186732837239,2014.6861418096864,1444.9358858737346,1584.7282777453408,597.5304385552254,308.27747241730134,1674.5533359675348,1024.3515021710077,401.22094910410647,1406.1764647440234,554.997387381238,194.22184480639658,926.374789164731,835.4182186186748
102,0.043792250463709353,14.939879517586478,3363.048951472458,392.46728708081065,51.38579570270368,376.1610597299285,113.80729326365687,830.4568020071845,1162.1774462906544,158.2053367349805,311.53353408123314,187.63328595960792,307.32377063936985,563.094796637298,159.34710540201223,74.5469650623015,219.03652663425797,258.1937257177254,62.22640114935139,168.7142554735669,138.59220757315325
103,0.005500641517338599,5.60357029044876,3198.846295932332,367.26129273700644,21.310208821126086,119.15805829713263,14.25482374496437,10.606601717798213,154.94999193288137,58.87941672847749,80.24649525057154,53.90384958423656,53.58544578521298,87.65414993027997,146.36222190169156,20.112185361118765,49.441885077330944,333.0355836843865,27.338160142921105,128.0800530918066,271.3903093332553
104,0.022714849590725367,16.816658407662327,3412.845367138687,318.81040043977777,61.36570703577039,658.3097403849606,53.85907537267977,193.0220194692823,663.1699756975331,178.45307506456703,370.8818641331187,328.7153023514421,235.01340387305572,457.12026590384284,288.9254229035583,104.62074364101987,248.4690624605003,235.42344827990266,87.64345383427104,175.79711317311214,236.7272692361402
105,0.04431892133540423,184.43860767203813,8758.393845334886,984.1076450992834,273.5806553833805,2117.952549043533,220.35448713379992,731.2829479756792,2420.2150903036145,742.9667844911661,1247.9922733277294,764.2649246171121,937.8877864648841,1871.0517764081249,873.765471966019,60.77211531615466,1358.9948491440282,724.0636021787036,245.3861752422088,922.9123739554043,477.3878925988802
106,0.013275253608313992,7.00713921654194,577.1008360763308,79.1206131711037,200.36279594775073,80.00044642732581,74.26573907260332,156.556698994326,285.61775154916404,78.30389517769854,288.45933112708576,359.5465894706832,271.25043778766513,141.40323546510524,36.36481816261426,293.1731570249909,186.87729931695824,301.0705897293856,47.391982444291145,31.002016063475615,73.1334396839093
107,0.01663959278439851,6.906518659932803,12437.542572791459,290.1029373958738,245.58348885867713,343.74959740236164,80.90797241310649,159.1257364476281,324.18564640238674,82.1253397470685,100.11029631647001,1125.386322557725,97.14164915215306,112.33042775668576,15.524174696260024,101.89209979188769,42.420513905420805,373.1821271175778,9.293815147720553,77.57335238340548,157.74377959209676
108,0.009023842454135475,3.872983346207417,1624.6460768425843,112.55633510126638,177.99613759854455,138.13942232396948,12.353137253345807,518.3927082820513,396.9489891661144,209.97057616995497,57.945171128773595,38.71046370169182,285.4508714297436,394.51623857580313,40.64972324629038,53.86325277960847,88.67919710958145,314.4630343935516,241.63117555481122,28.173569173961614,87.5928079239386
109,0.029492363979134458,34.11304735727959,778.0461104587569,534.5396550838327,71.48950971995822,771.0509062312293,15.182226450688976,84.69504117715512,585.3511766452682,79.56533703279875,203.04767209415908,270.170085316639,119.93206410297456,341.6677845510167,1240.053547230925,13.124404748406688,263.2069053045531,265.8082015288467,36.38852841212461,159.5250763986653,103.3440854621105
110,0.052725467103479806,125.1023580912846,2249.8733019883584,1200.2291150323877,211.1196343308694,1201.3552763441796,85.94649498379792,540.700009247272,1481.9603008627907,134.73598522401397,960.6133457328187,513.6426286826279,342.9864428807646,736.1507148675466,485.4048825465191,216.19898242128707,1000.2347224526851,318.82518721079737,36.05724615108591,542.7008844658354,494.9574729206541
